traffic_class,metric,n_pairs,forward_mean,extraction_mean,delta_abs,delta_pct,ci95_low,ci95_high
opcua_opn,latency_mean_ms,1,0.062943,-0.103378,-0.166321,-264.242424,nan,nan
opcua_opn,latency_median_ms,1,0.062943,0.038981,-0.023961,-38.068182,nan,nan
opcua_opn,latency_p95_ms,1,0.581026,0.671864,0.090837,15.633976,nan,nan
opcua_opn,latency_p99_ms,1,0.581026,0.671864,0.090837,15.633976,nan,nan
opcua_opn,latency_std_ms,1,0.406128,0.792192,0.386064,95.059523,nan,nan
opcua_opn,ingress_packets,1,10.000000,10.000000,0.000000,0.000000,nan,nan
opcua_opn,egress_packets,1,10.000000,10.000000,0.000000,0.000000,nan,nan
opcua_opn,matched_packets,1,10.000000,10.000000,0.000000,0.000000,nan,nan
opcua_opn,unmatched_ingress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_opn,unmatched_egress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_opn,drop_rate_pct,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_opn,rst_ingress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_opn,rst_egress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_other,latency_mean_ms,1,0.018132,0.026158,0.008026,44.261667,nan,nan
opcua_other,latency_median_ms,1,-0.146866,-0.227928,-0.081062,55.194805,nan,nan
opcua_other,latency_p95_ms,1,0.517130,0.601053,0.083923,16.228677,nan,nan
opcua_other,latency_p99_ms,1,1.324892,1.719952,0.395060,29.818247,nan,nan
opcua_other,latency_std_ms,1,1.066978,1.275749,0.208771,19.566562,nan,nan
opcua_other,ingress_packets,1,29527.000000,29527.000000,0.000000,0.000000,nan,nan
opcua_other,egress_packets,1,29527.000000,29527.000000,0.000000,0.000000,nan,nan
opcua_other,matched_packets,1,29527.000000,29527.000000,0.000000,0.000000,nan,nan
opcua_other,unmatched_ingress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_other,unmatched_egress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_other,drop_rate_pct,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_other,rst_ingress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_other,rst_egress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_all_8666,latency_mean_ms,1,0.012461,0.019964,0.007502,60.203275,nan,nan
opcua_all_8666,latency_median_ms,1,-0.005007,-0.006437,-0.001431,28.571429,nan,nan
opcua_all_8666,latency_p95_ms,1,0.483036,0.578880,0.095844,19.842053,nan,nan
opcua_all_8666,latency_p99_ms,1,1.085997,0.900030,-0.185966,-17.124040,nan,nan
opcua_all_8666,latency_std_ms,1,0.847254,0.981240,0.133985,15.814035,nan,nan
opcua_all_8666,ingress_packets,1,59074.000000,59074.000000,0.000000,0.000000,nan,nan
opcua_all_8666,egress_packets,1,59074.000000,59074.000000,0.000000,0.000000,nan,nan
opcua_all_8666,matched_packets,1,59074.000000,59074.000000,0.000000,0.000000,nan,nan
opcua_all_8666,unmatched_ingress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_all_8666,unmatched_egress,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_all_8666,drop_rate_pct,1,0.000000,0.000000,0.000000,nan,nan,nan
opcua_all_8666,rst_ingress,1,29537.000000,29537.000000,0.000000,0.000000,nan,nan
opcua_all_8666,rst_egress,1,29537.000000,29537.000000,0.000000,0.000000,nan,nan
